Table: Table_1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Pereis ,5,3,- ,- ,3,30,- ,15,10,,I I - ,- ,20,4,
2,Leickilax ,4,4,- ,- ,4,42,5,- ,12,6,,I - ,- ,16,4
3,Leickis ,3,3,- ,- ,3,20,- ,8,2,,2 - ,- ,7,3,
4,Kurkirauma ,1,1,- ,- ,I ,15,- ,12,4,,2,- ,7,4,
5,Ylttis ,1,4,- ,- ,4,50,- ,23,10,,I 3 ,2,20,5,
6,Kurala ,2,2,- ,- ,2,30,- ,16,9,,2,- ,26,3,
7,Aiola ,? ,3,- ,- ,4,60,- ,15,8,,1 2 ,10,30,4,
8,Jerffuenpe. ,3,3,i? ,- ,I ,5,- ,5,3,,2,2,6,1,
9,Karszlax ,2,2,- ,- ,2,10,- ,10,5,,2,- ,9,4,
10,Achtentaka ,3,3,- ,- ,3,25,- ,17,9,,I ,8,34,3,
11,Hanganpe ,2,2,- ,- ,2,12,5,- ,11,4,,I ,,4,2
12,Rijgas ,4,4,- ,- ,4,25,- ,24,17,,6,- ,33,7,
13,Rijttiö ,5,5,- ,- ,5,47,5,- ,16,9,,4,- ,24,12
4,Ruokorauma ,3,3,- ,- ,+ ,45,- ,10,2,,3,,13,2,
15,Suutarla ,2,2,- ,- ,2,20,- ,6,2,,,I ,21,5,
16,Kawpila ,4,4,1? ,- ,3,20,- ,10,6,,1 2 ,- ,8,2,
17,Taipalo ,2,2,- ,- ,2,20,- ,10,5,,2,- ,13,4,
18,Mondola ,3,3,- ,- ,3,25,- ,8,8,,I ,- ,10,6,
19,Kinttalax ,2,3,- ,- ,2,30,- ,10,4,- ,2,- ,4,9,
20,Okala ,i ,3,1? ,- ,3,30,,9,5,,,,2,3,
21,Röödile ,2,2,- ,- ,3,35,- ,6,6,- ,3,1,7,5,
22,Lookila ,I ,1,- ,- ,- ,- ,- ,5,3,,,- ,3,2,
23,Athila ,l ,I ,- ,- ,I ,15,- ,8,2,,2,- ,,I ,
24,Andola ,I ,1,- ,- ,1,5,- ,3,2,,,1,6,I ,
25,Letalax ,3,3,,- ,3,22,5,- ,13,8,,I ,3,12,3
26,Anttila ,2,2,,- ,2,13,- ,4,2,,,- ,4,2,
27,Paffuais ,3,3,- ,- ,3,20,- ,9,7,,,9,8,6,
28,Hintzala ,2,1,,,I ,20,- ,6,2,,,,5,3,
29,Kepuis ,3,2,,- ,2,17,5,- ,7,-5,,1 I ,- ,4,3
30,Seppälae ,¹) 3 ,2,,,2,27,5,- ,9,4,,,- ,17,2
31,Kiriala ,4,4,,,4,35,- ,21,10,,,I ,24,7,
32,Tammisto. ,? ,I ,,,1,10,- ,5,2,,,- ,7,2,
33,Heineis ,2,2,- ,,2,20,- ,10,3,,,2,13,3,
34,Sodiala ,2,I ,,,I ,13,- ,5,3,,4,,5,2,
