Table: Table_1,,,,,,,,,,,,,,,,,
occ,1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Statmjölkerskor ,- -- ,,- ,- ,- ,- ,- ,- ,------ ,- ,- ,- ,- ,- ,- ,- - - ,X obest. antal. 
Mjölkjungfrur ,-10,,3,5,6,8,6,10,X ,18,5,X ,------- ,15,- ,- - - ,
Innejungfrur ,-4,,-- ,- ,,2,2,- ,--- ,,- ,- ,- ,- ,- ,- - - ,1) elever. 
Landsjungfrur ,- - ,,-- ,- ,- ,2,******* ,X - ,- ,- ,- ,----- ,- ,- ,4,2 3 7 ,
,- --- ,,--- ,- ,,- ,- ,X - ,X - ,- ,- ,- ,--- ,--- ,- ,- - -- ,
Trädgärdsarbeterskor ,--- - ,,- ,--- ,X - ,- ,- ,- ,X - ,--- ,- ,- ,X -- ,X -- ,- ,X - -- - ,
,- -- ,,- ,- ,--- ,- ,- ,X - ,X ------- ,----- ,- ,---- ,--- ,- ,- ,- - - ,
,- - ,,,-- ,- ,- ,- ,--- ,- ,- ,- ,- ,- ,- ,- ,- -- ,
Kapp- och klädsömmerskor ,10 - ,,- ,- ,- ,- ,X - ,- ,X ,-- ,,- ,- ,- ,- ,--- --- - ,
Maskinsömmerskor ,2 - ,,- ,- ,--- ,- ,--- ,- ,- ,-- ,- ,- ,- ,- ,- ,- - - ,
Presserska ,4 -- ,,- ,-- ,X - ,X - ,- ,- ,- ,--- ,- ,- ,---- ,--- ,- ,- - -- ,
Tricotsömmerskor ,2 - ,,- ,- ,X - ,- ,- ,- ,---- ,- ,- ,-- ,X - ,X - ,--- ,- - - ,
Fabriksarbeterskor ,6 - ,,- ,- ,X X - ,- ,- ,2,- ,- ,- ,- ,X - ,- ,- ,- - ,
Bagerijungfrur ,- ,,- ,- ,--- ,- ,,- ,- ,- ,--- ,--- ,X - ,- ,-- ,- - - ,
Hembagerskor ,2,,- ,1,- ,- ,- ,---- ,- ,1,- ,- ,- ,- ,X - ,- - - ,
Hushällerskor till hotell ,1 1 ,,- ,- ,--- ,---- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1,
"Hushällselever "" "" ",3 2 ,,- ,- ,- ,4,- ,- ,- ,---- ,- ,- ,X --- ,- ,- ,- - - ,
"Kontrollörskor "" "" ",- - ,,,- ,-- ,- ,- ,-- ,- ,- ,- ,-- ,,- ,- ,--- - ,
"Kallskänkor "" "" ",- - ,,- ,- ,- ,- ,X - ,X - ,-- ,- ,- ,- ,- ,- ,------ ,-- -- ,
"Kallskänkebitr. "" "" ",1,,- ,--- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-- ,- ,-- - - ,
"Servitriser "" "" ",-1,,1,- ,--- ,- ,- ,- ,- ,- ,- ,1,- ,- ,- ,- - ,
"Städerskor "" ",-1,,- ,-- ,1,- ,- ,1,- ,- ,- ,- ,- ,- ,- ,- -- - ,
"Kassörska "" ",- - ,,- ,- ,-- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ----- - ,
"Kokerskor "" ",2 2 ,,- ,1,1,- ,- ,- ,X -- ,- ,,,,- ,- ,- - - ,
"Köksjungfrur "" "" ",14 10 ,,- ,,- ,2,- ,,- ,- ,- ,2,-- ,1,2,1,
"Diskerskor "" "" ",7 10 ,,- ,3,- ,2,- ,2,- ,-- ,- ,1,- ,1,- ,- - - ,
Flasksköljerskor ,- - ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,--- ,- ,- ,- - - ,
Linnesömmerskor ,1 - ,,- ,- ,- ,- ,X - ,X -- ,- ,- ,-- ,- ,- ,- ,- ,- -- ,
Tvätterskor ,- - ,,- ,--- ,- ,--- ,X -- ,- ,- ,- ,---- ,- ,,- ,1,- - ,
,- - ,,- ,- ,-- ,- ,- ,- ,--- ,- ,- ,- ,- ,- ,- ,- - - ,
Butiksbiträden ,3 - ,,- ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,-- ,- ,X X - -- - ,
D:o elever ,1 - ,,- ,--- ,-- ,- ,- ,-- ,- ,- ,- ,- ,-- ,- ,- ,- - - ,
Passflickor ,10 - ,,- ,- ,3,-- ,- ,- ,- ,- ,- ,- ,-- ,-- ,-- ,X X - - ,
Springflickor ,- - ,,- ,- ,- ,- ,- ,2,- ,- ,- ,- ,- ,-- ,- ,- - ,
Husförestanderskor ,- - ,,--- ,- ,- ,- ,- ,- ,- ,- ,- ,--- ,- ,- ,- ,-- - - ,
Hushällerskor ,1 1 ,,- ,- ,1,- ,3,2,- ,- ,3,2,--- ,1,1,- - ,
Hushällselever ,2 - ,,- ,- ,- ,- ,- ,2,- ,- ,- ,- ,- ,- ,- ,- - - ,
Städerskor ,5 4 ,,1,3,2,2,1,3,- ,15,2,1,- ,3,- ,- - ,
Hus- och barnjungfrur ,3 - ,,- ,1,- ,- ,2,4,1,10,- ,2,- ,- ,-- ,X X --- - - ,
Barnflickor ,2 - ,,- ,- ,- ,2,2,- ,--- ,- ,-- ,- ,- ,- ,- ,- - - ,
Barnsköterskor ,,,- ,- ,,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,--- -- - ,
Kokerskor ,4 5 ,,1,- ,2,3,- ,--- ,- ,10,2,2,- ,4,3,- - - ,
Köksjungfrur. ,2,,--- ,3,- ,-- ,1,4,3,10,- ,2,- ,- ,- ,- - - ,
Ensamjungfrur ,30 25 ,,5,18,8,8,3,12,2,X ,4,X ,- ,10,7,7 4 7 ,
,- ,,- ,- ,,- ,-- ,- ,- ,- ,- ,--- ,- ,,- ,X - - -- ,
,- - ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,-- ,- ,- ,- ,- - - ,
Glansstrykerskor ,1 - ,,- ,- ,- ,- ,- ,- ,- ,- ,,- ,- ,- ,---- ,X - --- - ,
Strykerska ,- - ,,--- ,1,- ,- ,-- ,-- ,- ,- ,- ,--- ,- ,- ,- ,- - - ,
,- -- ,,- ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- -- ,
Manglerskor ,1 - ,,- ,---- ,--- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- - ,
Tvätterskor ,- - ,,- ,- ,--- ,- ,- ,--- ,- ,- ,- ,- ,,- ,- ,- - - ,
,---- - ,,--- ,- ,--- ,- ,- ,- ,- ,- ,- ,X - ,- ,- ,- ,- - - ,
Sjuksköterskebiträden ,- - ,,1,- ,- ,------ ,- ,- ,- ,1,- ,---- ,- ,- ,- ,- - - ,
,--- ,,,- ,- ,- ,- ,,- ,- ,- ,- ,- ,- ,-- ,- -- - ,
Manglestrykerskor ,2 - ,,,,,,,,- ,,,,- ,,- ,- - - ,
